source,author,title,description,url,publishedAt,sentiment,score
Pypi.org,andrey.bch.1976@gmail.com,ai-ebash 0.1.51,Console utility for integrating artificial intelligence into a Linux terminal.,https://pypi.org/project/ai-ebash/0.1.51/,2025-09-11T13:41:19Z,Neutral,0.0
BusinessLine,BL Mumbai Bureau,"Maharashtra signs ₹30,000-cr MoU with Lodha for Data Centre Park","Maharashtra signs MoU with Lodha Developers for 2 GW Green Data Centre Park in Palava. ₹30,000-cr investment to create 6,000 jobs with clean energy.",https://www.thehindubusinessline.com/news/real-estate/maharashtra-signs-30000-cr-mou-with-lodha-for-data-centre-park/article70038031.ece,2025-09-11T13:37:39Z,Neutral,0.0
The Times of India,Reuters,China's AI2 Robotics hopes to go public within two years,"The startup announced on Thursday that it has secured a contract with semiconductor display manufacturer HKC Corporation for more than 1,000 humanoid robots over three years.",https://economictimes.indiatimes.com/tech/technology/chinas-ai2-robotics-hopes-to-go-public-within-two-years/articleshow/123832596.cms,2025-09-11T13:35:56Z,Neutral,0.0
Fortune,Hanne Jesca Bax,The pragmatic generation: How will Gen Z transform the global workplace?,Work 15 hour-days and miss out on precious family time? That’s not Gen Z’s idea of getting ahead.,https://fortune.com/2025/09/11/gen-z-the-pragmatic-generation-transfor-global-workplace-ey/,2025-09-11T13:30:00Z,Neutral,0.0
GlobeNewswire,Precedence Research,Dental Services Organizations Market to Grow USD 835.87 Billion at 17.65% CAGR by 2034,"The global dental services organizations market is projected to expand from USD 192.83 billion in 2025 to USD 835.87 billion by 2034, reflecting at a CAGR of 17.65% over the forecast period. The global dental services organizations market is projected to expa…",https://www.globenewswire.com/news-release/2025/09/11/3148628/0/en/Dental-Services-Organizations-Market-to-Grow-USD-835-87-Billion-at-17-65-CAGR-by-2034.html,2025-09-11T13:30:00Z,Neutral,0.0
Financial Post,Bloomberg News,Tech stocks are doing so well it’s drawing concern from investors,"Technology stocks are rising so far, so fast that some investors are starting to position for the move to lose momentum. Read more.",https://financialpost.com/investing/tech-stocks-drawing-concern-investors,2025-09-11T13:28:42Z,Neutral,0.0
Yahoo Entertainment,Faizan Farooque,Alibaba to Raise $3.2 Billion for Cloud Push With Convertible Bond,"Funds to back AI investments, data centers and global expansion",https://finance.yahoo.com/news/alibaba-raise-3-2-billion-132511524.html,2025-09-11T13:25:11Z,Neutral,0.0
Yahoo Entertainment,Bloomberg News,Alibaba Leads Chinese Tech Funding Spree With $3.2 Billion Deal,"The Chinese e-commerce company’s zero coupon notes due 2032 will convert into its American depositary receipts, according to terms of the deal seen by...",https://finance.yahoo.com/news/alibaba-leads-chinese-tech-funding-035606623.html,2025-09-11T13:24:13Z,Neutral,0.0
The Star Online,The Star Online,"Venezuela military, militias deploy to 'battlefronts', Maduro says","(Reuters) -Venezuelan President Nicolas Maduro said early on Thursday his country would deploy military, police and civilian defenses at 284 ""battlefront"" locations across the country, his latest show of military capacity amid heightened tensions with the U.S…",https://www.thestar.com.my/news/world/2025/09/11/venezuela-military-militias-deploy-to-039battlefronts039-maduro-says,2025-09-11T13:24:00Z,Neutral,0.0
Yahoo Entertainment,Reuters,"Venezuela military, militias deploy to 'battlefronts', Maduro says","The Trump administration has ratcheted up the U.S. military presence in the southern Caribbean, as part of what it says is a crackdown on drug smugglers, and...",https://www.yahoo.com/news/articles/venezuela-military-militias-deploy-battlefronts-131832857.html,2025-09-11T13:18:32Z,Neutral,0.0
